Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Rate of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Rate,Percent of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Percent,Number of Women with a Delivery and OUD Diagnosis Receiving MAT,Number of Women with a Delivery and OUD Diagnosis Receiving MAT notes,Number of Women with a Delivery and OUD Receiving MAT Description,Number of Women with a Delivery and OUD Diagnosis,Number of Women with a Delivery and OUD Diagnosis notes,Number of Women with a Delivery and OUD Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Column
County,Crawford County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,20,20,42,039,16,"(41.6854690692, -80.1132108295)"
State,Commonwealth,Female,40 to 44 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Lackawanna County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,21,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,35,35,42,069,22,"(41.4391006428, -75.6121834524)"
County,Mercer County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,43,43,42,085,54,"(41.302377765, -80.2600941079)"
County,Huntingdon County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,31,31,42,061,38,"(40.4161050032, -77.9827661036)"
County,Fayette County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,703.7,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,70.37,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,19,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,27,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,26,26,42,051,31,"(39.919447803, -79.6518963464)"
State,Commonwealth,Female,40 to 44 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Lancaster County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,586.67,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,58.67,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,44,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,75,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,36,36,42,071,23,"(40.0459079619, -76.2513876838)"
County,Bucks County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,432.43,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,43.24,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,16,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,37,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,9,09,42,017,35,"(40.335011331, -75.1129124111)"
County,Schuylkill County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,15,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,54,54,42,107,64,"(40.707512431, -76.223323851)"
County,Wayne County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,64,64,42,127,53,"(41.6496980525, -75.3051535022)"
County,Venango County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,61,61,42,121,50,"(41.4034125863, -79.7628656104)"
County,Armstrong County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,3,03,42,005,41,"(40.8150952555, -79.4731689893)"
County,Warren County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,62,62,42,123,51,"(41.8167523652, -79.278581578)"
County,Luzerne County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,571.43,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,57.14,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,12,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,21,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,40,40,42,079,14,"(41.1783643884, -75.991996098)"
County,Pike County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,52,52,42,103,62,"(41.332571995, -75.0327092448)"
County,Bucks County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,675.68,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,67.57,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,25,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,37,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,9,09,42,017,35,"(40.335011331, -75.1129124111)"
County,York County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,15,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,67,67,42,133,12,"(39.9219253124, -76.7257605231)"
County,Indiana County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,22,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,32,32,42,063,19,"(40.6529549748, -79.0933349286)"
County,Susquehanna County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,58,58,42,115,44,"(41.8205685982, -75.8025030296)"
County,Potter County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,53,53,42,105,63,"(41.7442064382, -77.8987922939)"
County,Philadelphia County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,435.29,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,43.53,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,37,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,85,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,51,51,42,101,13,"(40.0044435384, -75.140236002)"
County,Tioga County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,59,59,42,117,48,"(41.7733383358, -77.2578807579)"
